Method,Market performance (%),Strat performance (%),Profit,Trades,Wins,Wins (%),Losses,Losses (%),Biggest win,Biggest win (%),Biggest loss,Biggest loss (%),Start balance,Final balance,Sharpe,Alpha,Candle size,History size,Timespan,Run date,Run time,Start date,End date,Currency pair,Currency,Asset,Exchange,Yearly profit,Yearly profit (%),Start price,End price,Config,Fee maker,Fee taker,Slippage,Simulation balance,Downside,"Method's settings location"
StochRSI,-1.127,-4.044,-40.461,53,13,24.53,40,75.47,79.2167,8.524,-26.465,-2.684,1000.39474831,959.93393289,-21.206,-2.917,60,10,a month,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 9:59 AM","Jul 5, 2018 12:01 AM",ETH/ZEC,ETH,ZEC,poloniex,-4.04,-499.51,0.39474831,0.39029933,"{""interval"":3,""thresholds"":{""low"":20,""high"":80,""persistence"":3}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-2.519,gekko
StochRSI,-11.091,-28.139,-2365.514,115,30,26.09,85,73.91,206.3994,3.033,-822.5886,-10.286,8406.48,6040.96558111,-200.093,-17.048,30,15,a month,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 7:29 AM","Jul 5, 2018 12:01 AM",USDT/BTC,USDT,BTC,binance,-28.14,-29101.34,7406.48,6585,"{""interval"":3,""thresholds"":{""low"":20,""high"":80,""persistence"":3}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-1.457,gekko
RSI,19.05,17.608,176.151,8,3,37.5,5,62.5,130.3724,12.462,-5.4818,-0.549,1000.39293251,1176.54346558,19.309,-1.442,30,15,2 months,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 7:29 AM","Jul 30, 2018 12:01 AM",ETH/ZEC,ETH,ZEC,poloniex,17.61,1176.43,0.39293251,0.46778685,"{""interval"":15,""thresholds"":{""low"":25,""high"":75,""persistence"":1}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-0.633,batcher
MACD,20.687,-47.063,-470.816,127,13,10.24,114,89.76,58.3923,10.364,-25.5859,-4.044,1000.38760211,529.57165224,-128.588,-67.751,60,15,2 months,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 2:59 PM","Jul 30, 2018 12:01 AM",ETH/ZEC,ETH,ZEC,poloniex,-47.06,-3162.44,0.38760211,0.46778685,"{""short"":10,""long"":21,""signal"":9,""thresholds"":{""down"":-0.000025,""up"":0.000025,""persistence"":1}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-2.405,batcher
MACD,18.322,-70.001,-700.29,244,24,9.84,220,90.16,43.2962,11.585,-30.9921,-6.829,1000.39534932,300.1048495514464,-251.572,-88.324,30,10,2 months,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 4:59 AM","Jul 30, 2018 12:01 AM",ETH/ZEC,ETH,ZEC,poloniex,-70,-4668.03,0.39534932,0.46778685,"{""short"":10,""long"":21,""signal"":9,""thresholds"":{""down"":-0.000025,""up"":0.000025,""persistence"":1}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-1.653,batcher
CCI,-11.254,-15.426,-1298.877,4,0,0,4,100,162.2399,1.927,-1082.2385,-12.61,8420.05,7121.17255587,-34.908,-4.172,60,10,a month,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 9:59 AM","Jul 5, 2018 12:01 AM",USDT/BTC,USDT,BTC,binance,-15.43,-16035.48,7420.05,6585,"{""constant"":0.015,""history"":90,""thresholds"":{""up"":100,""down"":-100,""persistence"":0}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-17.833,gekko
MACD,-10.712,-22.846,-1913.369,113,11,9.73,102,90.27,508.668,8.524,-230.4102,-3.319,8375,6461.63136563,-147.062,-12.134,30,10,a month,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 4:59 AM","Jul 5, 2018 12:01 AM",USDT/BTC,USDT,BTC,binance,-22.85,-23456.59,7375,6585,"{""short"":10,""long"":21,""signal"":9,""thresholds"":{""down"":-0.000025,""up"":0.000025,""persistence"":1}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-1.331,batcher
MACD,-0.67,-45.428,-454.455,124,12,9.68,112,90.32,24.0608,3.092,-29.3746,-3.305,1000.39293251,545.9383525193679,-383.651,-44.757,30,15,a month,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 7:29 AM","Jul 5, 2018 12:01 AM",ETH/ZEC,ETH,ZEC,poloniex,-45.43,-5590.85,0.39293251,0.39029933,"{""short"":10,""long"":21,""signal"":9,""thresholds"":{""down"":-0.000025,""up"":0.000025,""persistence"":1}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-1.69,batcher
MACD,-11.097,-15.468,-1300.376,51,7,13.73,44,86.27,518.2175,8.114,-596.8087,-7.38,8406.98,7106.60369139,-70.213,-4.37,60,15,a month,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 2:59 PM","Jul 5, 2018 12:01 AM",USDT/BTC,USDT,BTC,binance,-15.47,-16167.84,7406.98,6585,"{""short"":10,""long"":21,""signal"":9,""thresholds"":{""down"":-0.000025,""up"":0.000025,""persistence"":1}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-1.73,batcher
StochRSI,-10.712,-28.278,-2368.317,115,30,26.09,85,73.91,205.2281,3.033,-817.9204,-10.286,8375,6006.68263097,-200.379,-17.567,30,10,a month,"Feb 7, 2019",12:02 PM,"Jun 5, 2018 4:59 AM","Jul 5, 2018 12:01 AM",USDT/BTC,USDT,BTC,binance,-28.28,-29033.95,7375,6585,"{""interval"":3,""thresholds"":{""low"":20,""high"":80,""persistence"":3}}",0.25,0.25,0.05,"Currency: 1000, Asset: 1",-1.457,gekko
